Entity,Code,Year,Population,World region according to OWID,gender,Percentage
Africa,OWID_AFR,2020,1380821349,NA,Male,33.893734
Africa,OWID_AFR,2020,1380821349,NA,Female,33.06582
Albania,ALB,2020,2871950,Europe,Male,28.79551
Albania,ALB,2020,2871950,Europe,Female,27.223469
Algeria,DZA,2020,44042094,Africa,Male,22.120207
Algeria,DZA,2020,44042094,Africa,Female,19.621117
Argentina,ARG,2020,45191960,South America,Male,50.632126
Argentina,ARG,2020,45191960,South America,Female,55.74023
Asia,OWID_ASI,2020,4686811214,NA,Male,26.673529
Asia,OWID_ASI,2020,4686811214,NA,Female,25.01338
Australia,AUS,2020,25743787,Oceania,Male,44.94316
Australia,AUS,2020,25743787,Oceania,Female,57.292385
Austria,AUT,2020,8921402,Europe,Male,39.861782
Austria,AUT,2020,8921402,Europe,Female,44.272484
Bahrain,BHR,2020,1483081,Asia,Male,44.437313
Bahrain,BHR,2020,1483081,Asia,Female,48.37264
Bangladesh,BGD,2020,166298024,Asia,Male,24.238043
Bangladesh,BGD,2020,166298024,Asia,Female,21.50377
Belgium,BEL,2020,11540102,Europe,Male,39.687542
Belgium,BEL,2020,11540102,Europe,Female,45.559143
Benin,BEN,2020,13070169,Africa,Male,22.910837
Benin,BEN,2020,13070169,Africa,Female,24.16272
Bolivia,BOL,2020,11816301,South America,Male,54.05288
Bolivia,BOL,2020,11816301,South America,Female,51.50309
Bosnia and Herzegovina,BIH,2020,3299352,Europe,Male,28.17193
Bosnia and Herzegovina,BIH,2020,3299352,Europe,Female,30.274963
Brazil,BRA,2020,208660845,South America,Male,57.77725
Brazil,BRA,2020,208660845,South America,Female,66.02759
Bulgaria,BGR,2020,6933656,Europe,Male,44.63573
Bulgaria,BGR,2020,6933656,Europe,Female,49.408886
Burkina Faso,BFA,2020,21478691,Africa,Male,39.923477
Burkina Faso,BFA,2020,21478691,Africa,Female,39.614746
Cambodia,KHM,2020,16725484,Asia,Male,22.522648
Cambodia,KHM,2020,16725484,Asia,Female,21.921741
Cameroon,CMR,2020,26210566,Africa,Male,51.61794
Cameroon,CMR,2020,26210566,Africa,Female,53.47335
Canada,CAN,2020,38171903,North America,Male,53.222187
Canada,CAN,2020,38171903,North America,Female,63.32295
Chile,CHL,2020,19370621,South America,Male,59.45154
Chile,CHL,2020,19370621,South America,Female,62.0248
China,CHN,2020,1426106093,Asia,Male,22.383965
China,CHN,2020,1426106093,Asia,Female,21.36633
Colombia,COL,2020,50629997,South America,Male,49.103897
Colombia,COL,2020,50629997,South America,Female,53.364937
Congo,COG,2020,5752792,Africa,Male,42.871227
Congo,COG,2020,5752792,Africa,Female,35.82805
